States,Years,Quarter,Brands,Percentage,Transaction_Count
andaman-&-nicobar-islands,2018,1,Xiaomi,0.2470326409495549,1665
andaman-&-nicobar-islands,2018,1,Samsung,0.21439169139465875,1445
andaman-&-nicobar-islands,2018,1,Vivo,0.1456973293768546,982
andaman-&-nicobar-islands,2018,1,Oppo,0.07433234421364986,501
andaman-&-nicobar-islands,2018,1,OnePlus,0.04925816023738872,332
andaman-&-nicobar-islands,2018,1,Realme,0.04688427299703264,316
andaman-&-nicobar-islands,2018,1,Apple,0.03397626112759644,229
andaman-&-nicobar-islands,2018,1,Motorola,0.03353115727002967,226
andaman-&-nicobar-islands,2018,1,Lenovo,0.02997032640949555,202
andaman-&-nicobar-islands,2018,1,Huawei,0.02344213649851632,158
andaman-&-nicobar-islands,2018,1,Others,0.10148367952522255,684
andaman-&-nicobar-islands,2018,2,Xiaomi,0.24486975013290802,2303
andaman-&-nicobar-islands,2018,2,Samsung,0.20446570972886763,1923
andaman-&-nicobar-islands,2018,2,Vivo,0.1619351408825093,1523
andaman-&-nicobar-islands,2018,2,Oppo,0.07527910685805422,708
andaman-&-nicobar-islands,2018,2,OnePlus,0.049548112706007445,466
andaman-&-nicobar-islands,2018,2,Realme,0.049441786283891544,465
andaman-&-nicobar-islands,2018,2,Motorola,0.03391812865497076,319
andaman-&-nicobar-islands,2018,2,Apple,0.03274853801169591,308
andaman-&-nicobar-islands,2018,2,Lenovo,0.025943646996278574,244
andaman-&-nicobar-islands,2018,2,Huawei,0.024455077086656035,230
andaman-&-nicobar-islands,2018,2,Others,0.09739500265816055,916
andaman-&-nicobar-islands,2018,3,Xiaomi,0.24281833895793892,2950
andaman-&-nicobar-islands,2018,3,Samsung,0.19828792493209318,2409
andaman-&-nicobar-islands,2018,3,Vivo,0.1698082146678739,2063
andaman-&-nicobar-islands,2018,3,Oppo,0.08132356572557412,988
andaman-&-nicobar-islands,2018,3,OnePlus,0.05078607292781299,617
andaman-&-nicobar-islands,2018,3,Realme,0.04963371470902955,603
andaman-&-nicobar-islands,2018,3,Motorola,0.03210140752325294,390
andaman-&-nicobar-islands,2018,3,Apple,0.03053749279776113,371
andaman-&-nicobar-islands,2018,3,Huawei,0.0258457486212857,314
andaman-&-nicobar-islands,2018,3,Lenovo,0.024611079101160588,299
andaman-&-nicobar-islands,2018,3,Others,0.09424644003621697,1145
andaman-&-nicobar-islands,2018,4,Xiaomi,0.24431743529102615,3719
andaman-&-nicobar-islands,2018,4,Samsung,0.19287872815661541,2936
andaman-&-nicobar-islands,2018,4,Vivo,0.1801340165549862,2742
andaman-&-nicobar-islands,2018,4,Oppo,0.08330048613848377,1268
andaman-&-nicobar-islands,2018,4,Realme,0.04992773617133097,760
andaman-&-nicobar-islands,2018,4,OnePlus,0.0473656549730653,721
andaman-&-nicobar-islands,2018,4,Motorola,0.031139140717382736,474
andaman-&-nicobar-islands,2018,4,Apple,0.02989094731309946,455
andaman-&-nicobar-islands,2018,4,Huawei,0.02614636710024964,398
andaman-&-nicobar-islands,2018,4,Lenovo,0.024766784916568124,377
andaman-&-nicobar-islands,2018,4,Others,0.09013270266719223,1372
andaman-&-nicobar-islands,2019,1,Xiaomi,0.24607442460744247,4576
andaman-&-nicobar-islands,2019,1,Samsung,0.19181544418154442,3567
andaman-&-nicobar-islands,2019,1,Vivo,0.18391051839105185,3420
andaman-&-nicobar-islands,2019,1,Oppo,0.08604000860400086,1600
andaman-&-nicobar-islands,2019,1,Realme,0.04823617982361798,897
andaman-&-nicobar-islands,2019,1,OnePlus,0.04597762959776296,855
andaman-&-nicobar-islands,2019,1,Motorola,0.0301677780167778,561
andaman-&-nicobar-islands,2019,1,Apple,0.027694127769412775,515
andaman-&-nicobar-islands,2019,1,Huawei,0.027694127769412775,515
andaman-&-nicobar-islands,2019,1,Lenovo,0.02290815229081523,426
